rank,title,link,author,star,comment_num,comment_link,price
1,消失的13级台阶（罗翔推荐！荣获日本推理小说至…,https://www.amazon.cn/dp/B088BJ8HVL/ref=zg_bs_116169071_1/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,高野和明,4.7,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
2,人生海海（莫言盛赞！董卿、高晓松、杨洋、白百…,https://www.amazon.cn/dp/B07QF6D8Q8/ref=zg_bs_116169071_2/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,麦家,4.7,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
3,无人生还（全球销量第一的侦探推理小说，销售记…,https://www.amazon.cn/dp/B00T2NGQW2/ref=zg_bs_116169071_3/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,（英）阿加莎·克里斯蒂,4.6,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
4,被讨厌的勇气：“自我启发之父”阿德勒的哲学课…,https://www.amazon.cn/dp/B07N67L1RT/ref=zg_bs_116169071_4/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,岸见一郎,4.6,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
5,绝叫（豆瓣2020年度图书，推理·悬疑第1名，排名…,https://www.amazon.cn/dp/B08CDLHMFF/ref=zg_bs_116169071_5/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,叶真中显,4.6,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
6,傅雷家书（收录傅雷家人亲自编定193通家书！独…,https://www.amazon.cn/dp/B01K4H3IZW/ref=zg_bs_116169071_6/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,傅雷,4.6,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
7,"指数基金投资指南(新手一看就懂的稳健投资策略,…",https://www.amazon.cn/dp/B077N5BFJ4/ref=zg_bs_116169071_7/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,银行螺丝钉,4.6,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
8,刑法学讲义（罗翔刑法科普读物，通俗有趣的案…,https://www.amazon.cn/dp/B08DFN7GKB/ref=zg_bs_116169071_8/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,罗翔,4.8,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
9,瓦尔登湖（自我修行的心灵经典。无删减完整版，…,https://www.amazon.cn/dp/B00F90CPE0/ref=zg_bs_116169071_9/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,亨利·戴维·梭罗,4.4,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
10,作家榜经典：月亮与六便士(2017豆瓣阅读第1…,https://www.amazon.cn/dp/B06XXRNFZ9/ref=zg_bs_116169071_10/459-9491630-0650711?_encoding=UTF8&psc=1&refRID=XGZKFJMKA4S2K1KHAV96,毛姆,4.6,915,https://www.amazon.cn/product-reviews/B088BJ8HVL/ref=zg_bs_116169071_cr_1/459-9491630-0650711?ie=UTF8&refRID=XGZKFJMKA4S2K1KHAV96,￥14.99
