rank,title,link,author,star,comment_num,comment_link,price
1,就喜欢你看不惯我又干不掉我的样子.1(一只叫吾皇…,https://www.amazon.cn/dp/B07TDFP5JX/ref=zg_bs_143305071_1?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,白茶,4.5,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
2,不白吃漫画食物简史【全网2600万粉丝的美食达…,https://www.amazon.cn/dp/B08KGD3MVT/ref=zg_bs_143305071_2?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,我是不白吃,4.7,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
3,就喜欢你看不惯我又干不掉我的样子.4(一只叫吾皇…,https://www.amazon.cn/dp/B07T871BWD/ref=zg_bs_143305071_3?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,白茶,4.9,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
4,名侦探柯南（卷1） (超人气连载26年！难以逾越的…,https://www.amazon.cn/dp/B083CVFM8Z/ref=zg_bs_143305071_4?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,青山刚昌,4.4,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
5,镖人（读客熊猫君出品，轰动日本的中国漫画！漫…,https://www.amazon.cn/dp/B07BXKFXKH/ref=zg_bs_143305071_5?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,许先哲,4.7,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
6,爆笑校园36【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B0178VC7WM/ref=zg_bs_143305071_6?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,4.6,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
7,新世纪福音战士 EVA 套装上部 第01-04卷（官方…,https://www.amazon.cn/dp/B08H1NHYR5/ref=zg_bs_143305071_7?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,贞本义行,4.8,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
8,爆笑校园41【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B01GPZG4YY/ref=zg_bs_143305071_8?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,3.7,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
9,爆笑校园40【最受欢迎国产漫画票选第一名、人气…,https://www.amazon.cn/dp/B01DY5RK6E/ref=zg_bs_143305071_9?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,朱斌,3.7,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
10,如果历史是一群喵1-夏商西周篇【湖南卫视《天天…,https://www.amazon.cn/dp/B07HQGSF9L/ref=zg_bs_143305071_10?_encoding=UTF8&psc=1&refRID=FSWCYB4T2SPYX6M50CWN,肥志,4.6,432,https://www.amazon.cn/product-reviews/B07TDFP5JX/ref=zg_bs_143305071_cr_1?ie=UTF8&refRID=FSWCYB4T2SPYX6M50CWN,￥9.99
