rank,title,link,author,star,comment_num,comment_link,price
1,刑法学讲义（罗翔刑法科普读物，通俗有趣的案…,https://www.amazon.cn/dp/B08DFN7GKB/ref=zg_bs_143387071_1?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,罗翔,4.8,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
3,中华人民共和国民法典: 社会生活的百科全书，保…,https://www.amazon.cn/dp/B089PS26Y3/ref=zg_bs_143387071_3?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,全国人大常委会办公厅（中国内地）供稿,4.1,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
5,圆圈正义：作为自由前提的信念 (入驻B站7天粉丝…,https://www.amazon.cn/dp/B07Y7VMWW8/ref=zg_bs_143387071_5?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,罗翔,4.5,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
6,死屋：沙皇统治时期的西伯利亚流放制度（得到年…,https://www.amazon.cn/dp/B07T44TDF9/ref=zg_bs_143387071_6?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,丹尼尔·比尔,4.5,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
7,罗翔说刑法系列（『刑法学讲义』+『刑罚的历…,https://www.amazon.cn/dp/B08R8MG9SS/ref=zg_bs_143387071_7?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,罗翔,5.0,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
8,迷案重现：没药花园（8个100%真实案件，百万粉…,https://www.amazon.cn/dp/B08RHGYFRT/ref=zg_bs_143387071_8?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,何袜皮,4.8,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
9,知乎周刊・重返刑侦现场（总第 124 期）,https://www.amazon.cn/dp/B01B60Z89K/ref=zg_bs_143387071_9?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,知乎,4.5,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
10,天生变态狂：TED心理学家的脑犯罪之旅（《天才…,https://www.amazon.cn/dp/B01D9W34Q2/ref=zg_bs_143387071_10?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,詹姆斯·法隆,4.2,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
11,论法的精神(孟德斯鸠经典巨著，资产阶级政治法律…,https://www.amazon.cn/dp/B071JBBSTB/ref=zg_bs_143387071_11?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,孟德斯鸠,3.0,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
12,一本书读懂法律常识:解答日常法律难题的十万个为…,https://www.amazon.cn/dp/B017NGPOYA/ref=zg_bs_143387071_12?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,张红军,4.2,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
13,皮皮鲁和419宗罪小侦探大百科：土 (皮皮鲁和419…,https://www.amazon.cn/dp/B013G71L42/ref=zg_bs_143387071_13?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,郑渊洁,4.7,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
14,好的婚姻，要守护财产和爱【人人都需要的婚姻安…,https://www.amazon.cn/dp/B08239L4LX/ref=zg_bs_143387071_14?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,吴杰臻,5.0,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
15,刑罚的历史（罗翔历数五花八门酷刑，讲述刑罚从…,https://www.amazon.cn/dp/B08P4SFR17/ref=zg_bs_143387071_15?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,罗翔,4.1,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
16,中华人民共和国民事法典:最新升级版 (中华人民共…,https://www.amazon.cn/dp/B06XMYG7DT/ref=zg_bs_143387071_16?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,中国法制出版社,4.7,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
17,刑法罗盘 (罗翔教授全新著作，盘点鲜活案例，传…,https://www.amazon.cn/dp/B08K8T9GMT/ref=zg_bs_143387071_17?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,罗翔,4.8,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
18,法律的隐喻（增订版）(畅销二十年的法律经典，《…,https://www.amazon.cn/dp/B07WZHV29J/ref=zg_bs_143387071_18?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,刘星,4.0,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
19,基金从业资格考试专用教材：基金法律法规、职业…,https://www.amazon.cn/dp/B01C80DF06/ref=zg_bs_143387071_19?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,华图基金从业资格考试研究中心,4.1,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
20,不懂营销的律师不是好律师（律师业务入门及精进…,https://www.amazon.cn/dp/B07G2TZWH6/ref=zg_bs_143387071_20?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,王念山,3.5,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
21,你不可不知的法律常识（这是一个法律的世界，又…,https://www.amazon.cn/dp/B071H9LHZ8/ref=zg_bs_143387071_21?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,张志强,4.1,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
22,别笑!这才是中国法律史 (比野史更靠谱，比正史更…,https://www.amazon.cn/dp/B0154ER8LU/ref=zg_bs_143387071_22?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,秦涛,4.0,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
25,证券从业人员一般从业资格考试标准教材与真题题…,https://www.amazon.cn/dp/B01G1IHH6Y/ref=zg_bs_143387071_25?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,证券业从业人员一般从业资格考试教 …,3.2,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
27,平凡之路：一个律师的奋斗历程,https://www.amazon.cn/dp/B0747KQ714/ref=zg_bs_143387071_27?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,张刚,5.0,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
28,看得见的正义（经典再版，法学入门必读书）,https://www.amazon.cn/dp/B00M0DJYA2/ref=zg_bs_143387071_28?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,陈瑞华,4.5,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
29,为权利而斗争,https://www.amazon.cn/dp/B01N2LMLN6/ref=zg_bs_143387071_29?_encoding=UTF8&psc=1&refRID=XE9Y0P8QY7S4Q44KBA1F,耶林,4.4,88,https://www.amazon.cn/product-reviews/B08DFN7GKB/ref=zg_bs_143387071_cr_1?ie=UTF8&refRID=XE9Y0P8QY7S4Q44KBA1F,￥16.99
