rank,title,link,author,star,comment_num,comment_link,price
1,亲密关系（第6版）（百科全书式的两性心理学专…,https://www.amazon.cn/dp/B077SLW9SY/ref=zg_bs_143553071_1?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,罗兰·米勒 (Rowland S …,4.5,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
2,性心理学（畅销百年的性心理学百科全书，比肩弗…,https://www.amazon.cn/dp/B0823HYNRK/ref=zg_bs_143553071_2?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,哈夫洛克·霭理士,5.0,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
3,中华人民共和国民法典: 社会生活的百科全书，保…,https://www.amazon.cn/dp/B089PS26Y3/ref=zg_bs_143553071_3?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,全国人大常委会办公厅（中国内地）供稿,4.1,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
4,读者 半月刊 2021年04期,https://www.amazon.cn/dp/B08VH4YR71/ref=zg_bs_143553071_4?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,读者,4.1,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
6,啤博士的啤酒札记（啤酒的入门级百科全书，一本…,https://www.amazon.cn/dp/B07QRZY16J/ref=zg_bs_143553071_6?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,太空精酿,4.7,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
7,夜航船：年轻人要熟知的4248个文化常识(贾平凹…,https://www.amazon.cn/dp/B07JNXL41D/ref=zg_bs_143553071_7?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,张岱,4.0,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
8,史记(精注全译)(套装共6册)【豆瓣9.3高分推荐！无…,https://www.amazon.cn/dp/B074VZFTDT/ref=zg_bs_143553071_8?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,司马迁,3.7,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
9,人体简史（樊登推荐！你的身体30亿岁了！《万物…,https://www.amazon.cn/dp/B08BLJ3WZ6/ref=zg_bs_143553071_9?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,比尔·布莱森,4.5,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
10,读者 半月刊 2021年01期,https://www.amazon.cn/dp/B08QHQRS2S/ref=zg_bs_143553071_10?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,读者,4.4,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
11,第二性(合卷本)【上海译文出品！全球各版本销量…,https://www.amazon.cn/dp/B07BRP6GV6/ref=zg_bs_143553071_11?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,西蒙娜·德·波伏瓦 (Simon …,4.4,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
12,读者 半月刊 2021年03期,https://www.amazon.cn/dp/B08T1HR98F/ref=zg_bs_143553071_12?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,读者,4.3,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
13,性心理学（套装全2册） (潘光旦翻译，性心理学的…,https://www.amazon.cn/dp/B07F2RNFCF/ref=zg_bs_143553071_13?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,霭理士,4.4,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
14,爱丽丝梦游仙境：中英文对照典藏版 (全球独家百…,https://www.amazon.cn/dp/B00YTW194Q/ref=zg_bs_143553071_14?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,刘易斯·卡罗尔,4.1,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
15,读者 半月刊 2021年02期,https://www.amazon.cn/dp/B08RS5XW5V/ref=zg_bs_143553071_15?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,读者,4.3,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
16,世界未解之谜大全集 (典藏经典),https://www.amazon.cn/dp/B015O9CI60/ref=zg_bs_143553071_16?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,段晓蕾,4.6,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
17,10000年中国艺术史（全2册）（从山顶洞人装饰…,https://www.amazon.cn/dp/B08MVVYGMM/ref=zg_bs_143553071_17?_encoding=UTF8&psc=1&refRID=EWNHK9F715ECYWVXCPFG,王逊,5.0,58,https://www.amazon.cn/product-reviews/B077SLW9SY/ref=zg_bs_143553071_cr_1?ie=UTF8&refRID=EWNHK9F715ECYWVXCPFG,￥48.99
